小麦,1,3.6
トウモロコシ,2,7.2
ニンジン,2,7.2
ニワトリのエサ,2,7.2
大豆,3,10.8
サトウキビ,4,14.4
ウシのエサ,4,14.4
ブタのエサ,4,14.4
ヒツジのエサ,4,14.4
タマゴ,5,18
パン,6,21.6
インディゴ,7,25.2
カボチャ,9,32.4
ポップコーン,9,32.4
牛乳,9,32.4
黒砂糖,9,32.4
トウガラシ,10,36
リンゴ,11,39.6
ラズベリー,13,46.8
ニンジンジュース,13,46.8
ベーコン,14,50.4
白砂糖,14,50.4
クリーム,14,50.4
羊毛,15,54
サクランボ,19,68.4
コーンブレッド,20,72
キャロットパイ,23,82.8
ブラックベリー,23,82.8
シロップ,25,90
パンケーキ,30,108
青のウール帽,31,111.6
ピリ辛ポップコーン,34,122.4
バター味ポップコーン,35,126
ラズベリーマフィン,39,140.4
パンプキンパイ,44,158.4
ハンバーガー,50,180
ベーコンエッグ,56,201.6
青いセーター,58,208.8
ブラックベリーマフィン,63,226.8
赤いベリーケーキ,71,255.6
アップルパイ,75,270
